当座預金口座,返済期間,信用履歴,目的,借入金額,普通預金口座,雇用状況,性別など,保証人など,資産,年齢,その他借入,住居,仕事,電話番号,審査結果
口座なし,10,要注意人物,家具など,2069,口座なし,勤続1年以上4年未満,男性／既婚・未亡人,なし,その他資産,26,なし,家主,正社員,,安全
0DM未満,6,遅延なく返済中,家具など,1374,100DM未満,勤続1年以上4年未満,男性／独身,なし,不動産,36,銀行,家主,パート/アルバイト,登録あり,安全
口座なし,6,借金なし,ラジオ／テレビ,426,100DM未満,勤続7年以上,男性／既婚・未亡人,なし,その他資産,39,なし,家主,パート/アルバイト,,安全
200DM以上または給与振込口座,12,当銀行の返済金なし,ラジオ／テレビ,409,1000DM以上,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,不動産,42,なし,賃貸,正社員,,安全
200DM未満,7,遅延なく返済中,ラジオ／テレビ,2415,100DM未満,勤続1年以上4年未満,男性／独身,保証人,不動産,34,なし,家主,正社員,,安全
0DM未満,60,遅延あり,仕事,6836,100DM未満,勤続7年以上,男性／独身,なし,なし,63,なし,家主,正社員,登録あり,リスクあり
200DM未満,18,遅延なく返済中,仕事,1913,1000DM以上,勤続１年未満,男性／既婚・未亡人,なし,不動産,36,銀行,家主,正社員,登録あり,安全
0DM未満,24,遅延なく返済中,家具など,4020,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,27,消費者金融,家主,正社員,,安全
200DM未満,18,遅延なく返済中,新車,5866,100～500DM,勤続1年以上4年未満,男性／独身,なし,その他資産,30,なし,家主,正社員,登録あり,安全
口座なし,12,要注意人物,仕事,1264,口座なし,勤続7年以上,男性／独身,なし,なし,57,なし,賃貸,パート/アルバイト,,安全
200DM以上または給与振込口座,12,遅延なく返済中,家具など,1474,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,生命保険など,33,銀行,家主,管理者/役員,登録あり,安全
200DM未満,45,要注意人物,ラジオ／テレビ,4746,100DM未満,勤続１年未満,男性／独身,なし,生命保険など,25,なし,家主,パート/アルバイト,,リスクあり
口座なし,48,要注意人物,教育,6110,100DM未満,勤続1年以上4年未満,男性／独身,なし,なし,31,銀行,家族と同居,正社員,登録あり,安全
200DM以上または給与振込口座,18,遅延なく返済中,ラジオ／テレビ,2100,100DM未満,勤続1年以上4年未満,男性／独身,連帯債務者,不動産,37,消費者金融,家主,正社員,,リスクあり
200DM以上または給与振込口座,10,遅延なく返済中,家電,1225,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,37,なし,家主,正社員,登録あり,安全
200DM未満,9,遅延なく返済中,ラジオ／テレビ,458,100DM未満,勤続1年以上4年未満,男性／独身,なし,不動産,24,なし,家主,正社員,,安全
口座なし,30,遅延なく返済中,ラジオ／テレビ,2333,500～1000DM,勤続7年以上,男性／独身,なし,その他資産,30,銀行,家主,管理者/役員,,安全
200DM未満,12,遅延なく返済中,ラジオ／テレビ,1158,500～1000DM,勤続1年以上4年未満,男性／離婚・別居,なし,その他資産,26,なし,家主,正社員,登録あり,安全
200DM未満,18,遅延あり,修理,6204,100DM未満,勤続1年以上4年未満,男性／独身,なし,不動産,44,なし,家主,パート/アルバイト,登録あり,安全
0DM未満,30,要注意人物,中古車,6187,100～500DM,勤続4年以上7年未満,男性／既婚・未亡人,なし,その他資産,24,なし,賃貸,正社員,,安全
0DM未満,48,要注意人物,中古車,6143,100DM未満,勤続7年以上,女性／離婚・別居・結婚,なし,なし,58,消費者金融,家族と同居,パート/アルバイト,,リスクあり
口座なし,11,要注意人物,新車,1393,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,その他資産,35,なし,家主,管理者/役員,,安全
口座なし,36,遅延なく返済中,ラジオ／テレビ,2299,500～1000DM,勤続7年以上,男性／独身,なし,その他資産,39,なし,家主,正社員,,安全
0DM未満,6,遅延なく返済中,中古車,1352,500～1000DM,失業中,女性／離婚・別居・結婚,なし,生命保険など,23,なし,賃貸,無職,登録あり,安全
口座なし,11,要注意人物,新車,7228,100DM未満,勤続1年以上4年未満,男性／独身,なし,生命保険など,39,なし,家主,パート/アルバイト,,安全
口座なし,12,遅延なく返済中,ラジオ／テレビ,2073,100～500DM,勤続1年以上4年未満,女性／離婚・別居・結婚,連帯債務者,不動産,28,なし,家主,正社員,,安全
200DM未満,24,遅延あり,家具など,2333,口座なし,勤続１年未満,男性／独身,なし,生命保険など,29,銀行,家主,パート/アルバイト,,安全
200DM未満,27,遅延あり,中古車,5965,100DM未満,勤続7年以上,男性／独身,なし,その他資産,30,なし,家主,管理者/役員,登録あり,安全
口座なし,12,遅延なく返済中,ラジオ／テレビ,1262,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,25,なし,家主,正社員,,安全
口座なし,18,遅延なく返済中,中古車,3378,口座なし,勤続1年以上4年未満,男性／独身,なし,生命保険など,31,なし,家主,正社員,登録あり,安全
200DM未満,36,遅延あり,新車,2225,100DM未満,勤続7年以上,男性／独身,なし,なし,57,銀行,家族と同居,正社員,登録あり,リスクあり
口座なし,6,当銀行の返済金なし,新車,783,口座なし,勤続1年以上4年未満,男性／独身,保証人,不動産,26,消費者金融,家主,パート/アルバイト,,安全
200DM未満,12,遅延なく返済中,ラジオ／テレビ,6468,口座なし,失業中,男性／独身,なし,なし,52,なし,家主,管理者/役員,登録あり,リスクあり
口座なし,36,要注意人物,ラジオ／テレビ,9566,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,31,消費者金融,家主,正社員,,安全
200DM以上または給与振込口座,18,遅延なく返済中,新車,1961,100DM未満,勤続7年以上,女性／離婚・別居・結婚,なし,その他資産,23,なし,家主,管理者/役員,,安全
0DM未満,36,要注意人物,家具など,6229,100DM未満,勤続１年未満,女性／離婚・別居・結婚,連帯債務者,なし,23,なし,賃貸,パート/アルバイト,登録あり,リスクあり
200DM未満,9,遅延なく返済中,仕事,1391,100DM未満,勤続1年以上4年未満,男性／既婚・未亡人,なし,不動産,27,銀行,家主,正社員,登録あり,安全
200DM未満,15,要注意人物,ラジオ／テレビ,1537,口座なし,勤続7年以上,男性／独身,保証人,不動産,50,なし,家主,正社員,登録あり,安全
200DM未満,36,借金なし,仕事,1953,100DM未満,勤続7年以上,男性／独身,なし,なし,61,なし,家族と同居,管理者/役員,登録あり,リスクあり
200DM未満,48,借金なし,仕事,14421,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,25,なし,家主,正社員,登録あり,リスクあり
口座なし,24,遅延なく返済中,ラジオ／テレビ,3181,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,生命保険など,26,なし,家主,正社員,登録あり,安全
口座なし,27,遅延なく返済中,修理,5190,口座なし,勤続7年以上,男性／独身,なし,生命保険など,48,なし,家主,正社員,登録あり,安全
口座なし,12,遅延なく返済中,ラジオ／テレビ,2171,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,その他資産,29,銀行,家主,正社員,,安全
200DM未満,12,遅延なく返済中,新車,1007,1000DM以上,勤続1年以上4年未満,男性／既婚・未亡人,なし,不動産,22,なし,家主,正社員,,安全
口座なし,36,遅延なく返済中,教育,1819,100DM未満,勤続1年以上4年未満,男性／独身,なし,なし,37,消費者金融,家族と同居,正社員,登録あり,リスクあり
口座なし,36,遅延なく返済中,ラジオ／テレビ,2394,口座なし,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,25,なし,家主,正社員,,安全
口座なし,36,遅延なく返済中,中古車,8133,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,生命保険など,30,銀行,家主,正社員,,安全
口座なし,7,要注意人物,ラジオ／テレビ,730,口座なし,勤続7年以上,男性／独身,なし,生命保険など,46,なし,賃貸,パート/アルバイト,登録あり,安全
0DM未満,8,要注意人物,その他,1164,100DM未満,勤続7年以上,男性／独身,なし,なし,51,銀行,家族と同居,管理者/役員,登録あり,安全
200DM未満,42,要注意人物,仕事,5954,100DM未満,勤続4年以上7年未満,女性／離婚・別居・結婚,なし,不動産,41,銀行,家主,パート/アルバイト,,安全
0DM未満,36,遅延なく返済中,教育,1977,口座なし,勤続7年以上,男性／独身,なし,なし,40,なし,家主,管理者/役員,登録あり,リスクあり
0DM未満,12,要注意人物,中古車,1526,100DM未満,勤続7年以上,男性／独身,なし,なし,66,なし,家族と同居,管理者/役員,,安全
0DM未満,42,遅延なく返済中,ラジオ／テレビ,3965,100DM未満,勤続１年未満,男性／独身,なし,その他資産,34,なし,家主,正社員,,リスクあり
200DM未満,11,遅延あり,ラジオ／テレビ,4771,100DM未満,勤続4年以上7年未満,男性／独身,なし,生命保険など,51,なし,家主,正社員,,安全
口座なし,54,借金なし,中古車,9436,口座なし,勤続1年以上4年未満,男性／独身,なし,生命保険など,39,なし,家主,パート/アルバイト,,安全
200DM未満,30,遅延なく返済中,家具など,3832,100DM未満,勤続１年未満,男性／既婚・未亡人,なし,生命保険など,22,なし,家主,正社員,,安全
口座なし,24,遅延なく返済中,ラジオ／テレビ,5943,口座なし,勤続１年未満,女性／離婚・別居・結婚,なし,その他資産,44,なし,家主,正社員,登録あり,リスクあり
口座なし,15,遅延なく返済中,ラジオ／テレビ,1213,500～1000DM,勤続7年以上,男性／独身,なし,生命保険など,47,消費者金融,家主,正社員,登録あり,安全
口座なし,18,遅延なく返済中,仕事,1568,100～500DM,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,生命保険など,24,なし,賃貸,パート/アルバイト,,安全
0DM未満,24,遅延なく返済中,その他,1755,100DM未満,勤続7年以上,女性／離婚・別居・結婚,保証人,不動産,58,なし,家主,パート/アルバイト,登録あり,安全
0DM未満,10,遅延なく返済中,ラジオ／テレビ,2315,100DM未満,勤続7年以上,男性／独身,なし,不動産,52,なし,家主,パート/アルバイト,,安全
口座なし,12,要注意人物,仕事,1412,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,保証人,不動産,29,なし,家主,管理者/役員,登録あり,安全
200DM未満,18,要注意人物,家具など,1295,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,生命保険など,27,なし,家主,正社員,,安全
200DM未満,36,遅延なく返済中,教育,12612,100～500DM,勤続1年以上4年未満,男性／独身,なし,なし,47,なし,家族と同居,正社員,登録あり,リスクあり
0DM未満,18,遅延なく返済中,新車,2249,100～500DM,勤続4年以上7年未満,男性／独身,なし,その他資産,30,なし,家主,管理者/役員,登録あり,安全
0DM未満,12,借金なし,修理,1108,100DM未満,勤続4年以上7年未満,男性／独身,なし,不動産,28,なし,家主,正社員,,リスクあり
口座なし,12,要注意人物,ラジオ／テレビ,618,100DM未満,勤続7年以上,男性／独身,なし,不動産,56,なし,家主,正社員,,安全
0DM未満,12,要注意人物,中古車,1409,100DM未満,勤続7年以上,男性／独身,なし,不動産,54,なし,家主,正社員,,安全
口座なし,12,要注意人物,ラジオ／テレビ,797,口座なし,勤続7年以上,女性／離婚・別居・結婚,なし,生命保険など,33,銀行,家主,パート/アルバイト,,リスクあり
200DM以上または給与振込口座,24,要注意人物,家具など,3617,口座なし,勤続7年以上,男性／独身,連帯債務者,なし,20,なし,賃貸,正社員,,安全
200DM未満,12,遅延なく返済中,新車,1318,1000DM以上,勤続7年以上,男性／独身,なし,不動産,54,なし,家主,正社員,登録あり,安全
200DM未満,54,借金なし,仕事,15945,100DM未満,勤続１年未満,男性／独身,なし,なし,58,なし,賃貸,正社員,登録あり,リスクあり
口座なし,12,要注意人物,教育,2012,口座なし,勤続4年以上7年未満,女性／離婚・別居・結婚,なし,その他資産,61,なし,家主,正社員,,安全
200DM未満,18,遅延なく返済中,仕事,2622,100～500DM,勤続1年以上4年未満,男性／独身,なし,その他資産,34,なし,家主,正社員,,安全
200DM未満,36,要注意人物,ラジオ／テレビ,2337,100DM未満,勤続7年以上,男性／独身,なし,不動産,36,なし,家主,正社員,,安全
200DM未満,20,遅延あり,中古車,7057,口座なし,勤続4年以上7年未満,男性／独身,なし,生命保険など,36,銀行,賃貸,管理者/役員,登録あり,安全
口座なし,24,遅延なく返済中,新車,1469,100～500DM,勤続7年以上,男性／既婚・未亡人,なし,不動産,41,なし,賃貸,パート/アルバイト,,安全
200DM未満,36,遅延なく返済中,ラジオ／テレビ,2323,100DM未満,勤続4年以上7年未満,男性／独身,なし,その他資産,24,なし,賃貸,正社員,,安全
口座なし,6,遅延あり,ラジオ／テレビ,932,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,不動産,24,なし,家主,正社員,,安全
200DM未満,9,要注意人物,家具など,1919,100DM未満,勤続4年以上7年未満,男性／独身,なし,その他資産,35,なし,賃貸,正社員,登録あり,安全
口座なし,12,遅延なく返済中,中古車,2445,口座なし,勤続１年未満,男性／既婚・未亡人,なし,その他資産,26,なし,賃貸,正社員,登録あり,安全
200DM未満,24,要注意人物,その他,11938,100DM未満,勤続1年以上4年未満,男性／独身,連帯債務者,その他資産,39,なし,家主,管理者/役員,登録あり,リスクあり
口座なし,18,当銀行の返済金なし,新車,6458,100DM未満,勤続7年以上,男性／独身,なし,なし,39,銀行,家主,管理者/役員,登録あり,リスクあり
200DM未満,12,遅延なく返済中,新車,6078,100DM未満,勤続4年以上7年未満,男性／独身,なし,その他資産,32,なし,家主,正社員,,安全
0DM未満,24,遅延なく返済中,家具など,7721,口座なし,勤続１年未満,女性／離婚・別居・結婚,なし,生命保険など,30,なし,家主,正社員,登録あり,安全
200DM未満,14,遅延なく返済中,仕事,1410,500～1000DM,勤続7年以上,男性／既婚・未亡人,なし,不動産,35,なし,家主,正社員,登録あり,安全
200DM未満,6,遅延あり,仕事,1449,100～500DM,勤続7年以上,男性／離婚・別居,なし,その他資産,31,銀行,家主,正社員,,安全
200DM以上または給与振込口座,15,遅延なく返済中,教育,392,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,生命保険など,23,なし,賃貸,正社員,登録あり,安全
200DM未満,18,遅延なく返済中,新車,6260,100DM未満,勤続4年以上7年未満,男性／独身,なし,不動産,28,なし,賃貸,パート/アルバイト,,安全
口座なし,36,要注意人物,新車,7855,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,不動産,25,消費者金融,家主,正社員,登録あり,リスクあり
0DM未満,12,遅延なく返済中,ラジオ／テレビ,1680,500～1000DM,勤続7年以上,男性／既婚・未亡人,なし,不動産,35,なし,家主,正社員,,安全
口座なし,48,要注意人物,ラジオ／テレビ,3578,口座なし,勤続7年以上,男性／独身,なし,不動産,47,なし,家主,正社員,登録あり,安全
0DM未満,42,遅延なく返済中,ラジオ／テレビ,7174,口座なし,勤続4年以上7年未満,女性／離婚・別居・結婚,なし,その他資産,30,なし,家主,管理者/役員,登録あり,リスクあり
0DM未満,10,要注意人物,家具など,2132,口座なし,勤続１年未満,女性／離婚・別居・結婚,連帯債務者,不動産,27,なし,賃貸,正社員,,安全
0DM未満,33,要注意人物,家具など,4281,500～1000DM,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,23,なし,家主,正社員,,リスクあり
200DM未満,12,要注意人物,新車,2366,500～1000DM,勤続4年以上7年未満,男性／離婚・別居,なし,その他資産,36,なし,家主,管理者/役員,登録あり,安全
0DM未満,21,遅延なく返済中,ラジオ／テレビ,1835,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,不動産,25,なし,家主,正社員,登録あり,リスクあり
口座なし,24,要注意人物,中古車,3868,100DM未満,勤続7年以上,女性／離婚・別居・結婚,なし,その他資産,41,なし,賃貸,管理者/役員,登録あり,安全
口座なし,12,遅延なく返済中,家具など,1768,100DM未満,勤続1年以上4年未満,男性／独身,なし,不動産,24,なし,賃貸,パート/アルバイト,,安全
200DM以上または給与振込口座,10,要注意人物,新車,781,100DM未満,勤続7年以上,男性／独身,なし,なし,63,なし,家族と同居,正社員,登録あり,安全
200DM未満,18,遅延なく返済中,家具など,1924,口座なし,勤続１年未満,女性／離婚・別居・結婚,なし,不動産,27,なし,賃貸,正社員,,リスクあり
0DM未満,12,要注意人物,新車,2121,100DM未満,勤続1年以上4年未満,男性／独身,なし,生命保険など,30,なし,家主,正社員,,安全
0DM未満,12,遅延なく返済中,ラジオ／テレビ,701,100DM未満,勤続1年以上4年未満,男性／既婚・未亡人,なし,不動産,40,なし,家主,パート/アルバイト,,安全
200DM未満,12,遅延なく返済中,修理,639,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,30,なし,家主,正社員,,リスクあり
200DM未満,12,要注意人物,中古車,1860,100DM未満,失業中,男性／独身,なし,その他資産,34,なし,家主,管理者/役員,登録あり,安全
0DM未満,12,要注意人物,新車,3499,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,連帯債務者,不動産,29,なし,家主,正社員,,リスクあり
200DM未満,48,遅延なく返済中,新車,8487,口座なし,勤続4年以上7年未満,女性／離婚・別居・結婚,なし,その他資産,24,なし,家主,正社員,,安全
0DM未満,36,遅延あり,教育,6887,100DM未満,勤続1年以上4年未満,男性／独身,なし,生命保険など,29,消費者金融,家主,正社員,登録あり,リスクあり
口座なし,15,遅延なく返済中,家具など,2708,100DM未満,勤続１年未満,男性／独身,なし,生命保険など,27,銀行,家主,パート/アルバイト,,安全
口座なし,18,遅延なく返済中,家具など,1984,100DM未満,勤続1年以上4年未満,男性／独身,なし,なし,47,銀行,家族と同居,正社員,,安全
口座なし,60,遅延なく返済中,ラジオ／テレビ,10144,100～500DM,勤続4年以上7年未満,女性／離婚・別居・結婚,なし,不動産,21,なし,家主,正社員,登録あり,安全
口座なし,12,要注意人物,ラジオ／テレビ,1240,口座なし,勤続7年以上,女性／離婚・別居・結婚,なし,不動産,38,なし,家主,正社員,登録あり,安全
口座なし,27,遅延あり,中古車,8613,1000DM以上,勤続1年以上4年未満,男性／独身,なし,その他資産,27,なし,家主,正社員,,安全
200DM未満,12,遅延なく返済中,ラジオ／テレビ,766,500～1000DM,勤続1年以上4年未満,男性／独身,なし,不動産,66,なし,家主,パート/アルバイト,,リスクあり
200DM未満,15,要注意人物,ラジオ／テレビ,2728,口座なし,勤続4年以上7年未満,男性／独身,保証人,不動産,35,銀行,家主,正社員,登録あり,安全
200DM以上または給与振込口座,12,遅延なく返済中,ラジオ／テレビ,1881,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,44,なし,賃貸,パート/アルバイト,登録あり,安全
200DM以上または給与振込口座,6,遅延なく返済中,新車,709,1000DM以上,勤続１年未満,男性／既婚・未亡人,なし,不動産,27,なし,家主,無職,,安全
200DM未満,36,遅延なく返済中,ラジオ／テレビ,4795,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,なし,30,なし,家主,管理者/役員,登録あり,安全
0DM未満,27,遅延なく返済中,ラジオ／テレビ,3416,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,27,なし,家主,管理者/役員,,安全
0DM未満,18,遅延なく返済中,家具など,2462,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,22,なし,家主,正社員,,リスクあり
口座なし,21,要注意人物,家具など,2288,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,生命保険など,23,なし,家主,正社員,登録あり,安全
200DM未満,48,当銀行の返済金なし,仕事,3566,100～500DM,勤続4年以上7年未満,男性／独身,なし,その他資産,30,なし,家主,正社員,,安全
0DM未満,6,要注意人物,新車,860,100DM未満,勤続7年以上,女性／離婚・別居・結婚,なし,なし,39,なし,家主,正社員,登録あり,安全
口座なし,12,要注意人物,新車,682,100～500DM,勤続4年以上7年未満,女性／離婚・別居・結婚,なし,その他資産,51,なし,家主,正社員,登録あり,安全
0DM未満,36,要注意人物,家具など,5371,100DM未満,勤続1年以上4年未満,男性／独身,保証人,生命保険など,28,なし,家主,正社員,,安全
口座なし,18,要注意人物,ラジオ／テレビ,1582,1000DM以上,勤続7年以上,男性／独身,なし,その他資産,46,なし,家主,正社員,,安全
口座なし,6,遅延なく返済中,ラジオ／テレビ,1346,100～500DM,勤続7年以上,男性／独身,なし,なし,42,銀行,家族と同居,正社員,登録あり,安全
口座なし,10,遅延なく返済中,ラジオ／テレビ,1924,100DM未満,勤続1年以上4年未満,男性／独身,なし,生命保険など,38,なし,家主,正社員,登録あり,安全
200DM以上または給与振込口座,36,遅延なく返済中,ラジオ／テレビ,5848,100DM未満,勤続1年以上4年未満,男性／独身,なし,その他資産,24,なし,家主,正社員,,安全
200DM未満,24,要注意人物,中古車,7758,1000DM以上,勤続7年以上,女性／離婚・別居・結婚,なし,なし,29,なし,賃貸,正社員,,安全
200DM未満,24,遅延あり,仕事,6967,100～500DM,勤続4年以上7年未満,男性／独身,なし,その他資産,36,なし,賃貸,管理者/役員,登録あり,安全
0DM未満,12,遅延なく返済中,家具など,1282,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,その他資産,20,なし,賃貸,正社員,,リスクあり
0DM未満,9,要注意人物,修理,1288,100～500DM,勤続7年以上,男性／独身,保証人,不動産,48,なし,家主,正社員,,安全
0DM未満,12,当銀行の返済金なし,再教育,339,100DM未満,勤続7年以上,男性／既婚・未亡人,なし,その他資産,45,銀行,家主,パート/アルバイト,,安全
200DM未満,24,遅延なく返済中,新車,3512,100～500DM,勤続4年以上7年未満,男性／独身,なし,その他資産,38,銀行,家主,正社員,登録あり,安全
口座なし,6,要注意人物,ラジオ／テレビ,1898,口座なし,勤続1年以上4年未満,男性／独身,なし,不動産,34,なし,家主,パート/アルバイト,,安全
口座なし,24,要注意人物,ラジオ／テレビ,2872,100～500DM,勤続7年以上,男性／独身,なし,不動産,36,なし,家主,正社員,登録あり,安全
口座なし,18,要注意人物,新車,1055,100DM未満,勤続１年未満,女性／離婚・別居・結婚,なし,生命保険など,30,なし,家主,正社員,,安全
口座なし,15,遅延なく返済中,家電,1262,500～1000DM,勤続4年以上7年未満,男性／独身,なし,生命保険など,36,なし,家主,正社員,登録あり,安全
200DM未満,10,遅延なく返済中,新車,7308,100DM未満,失業中,男性／独身,なし,なし,70,銀行,家族と同居,管理者/役員,登録あり,安全
口座なし,36,遅延なく返済中,新車,909,500～1000DM,勤続7年以上,男性／独身,なし,生命保険など,36,なし,家主,正社員,,安全
口座なし,6,遅延なく返済中,家具など,2978,500～1000DM,勤続1年以上4年未満,男性／独身,なし,その他資産,32,なし,家主,正社員,登録あり,安全
0DM未満,18,遅延なく返済中,家具など,1131,100DM未満,失業中,女性／離婚・別居・結婚,なし,その他資産,33,なし,家主,正社員,,リスクあり
200DM未満,11,遅延なく返済中,家具など,1577,1000DM以上,勤続１年未満,女性／離婚・別居・結婚,なし,不動産,20,なし,家主,正社員,,安全
口座なし,24,遅延なく返済中,家具など,3972,100DM未満,勤続4年以上7年未満,女性／離婚・別居・結婚,なし,生命保険など,25,なし,賃貸,正社員,登録あり,安全
200DM未満,24,要注意人物,仕事,1935,100DM未満,勤続7年以上,男性／離婚・別居,なし,不動産,31,なし,家主,正社員,登録あり,リスクあり
0DM未満,15,借金なし,新車,950,100DM未満,勤続7年以上,男性／独身,なし,その他資産,33,なし,賃貸,正社員,,リスクあり
口座なし,12,遅延なく返済中,家具など,763,100DM未満,勤続1年以上4年未満,女性／離婚・別居・結婚,なし,不動産,26,なし,家主,正社員,登録あり,安全
200DM未満,24,遅延あり,家具など,2064,100DM未満,失業中,女性／離婚・別居・結婚,なし,生命保険など,34,なし,家主,管理者/役員,登録あり,リスクあり
200DM未満,8,遅延なく返済中,ラジオ／テレビ,1414,100DM未満,勤続1年以上4年未満,男性／独身,保証人,不動産,33,なし,家主,正社員,,安全
0DM未満,21,遅延あり,教育,3414,100DM未満,勤続１年未満,男性／独身,なし,生命保険など,26,なし,家主,正社員,,リスクあり
口座なし,30,当銀行の返済金なし,中古車,7485,口座なし,失業中,女性／離婚・別居・結婚,なし,不動産,53,銀行,家主,管理者/役員,登録あり,リスクあり
0DM未満,12,遅延なく返済中,家具など,2577,100DM未満,勤続1年以上4年未満,男性／離婚・別居,なし,その他資産,42,なし,家主,正社員,,安全
